hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
11 Com,,,,2.6,,,,,,,
11 Com,,4830,,2.04,-0.34,,2.61,,,,
11 Com,G8 III,4742,19,2.7,-0.35,2.243,2.31,,,1.2,
11 Com,G8 III,4874,13.76,2.09,-0.26,1.978,2.45,,,,
11 Com,,4675.18,17.41,,-0.51,,,,,,
11 Com,K0,,,,,,,,,,
11 Com B,,4415,0.63,0.69,,-0.874,4.69,,3.988,,
11 Com,,4755,17.18,,,2.133,,,,,
11 Com,K0 III,4705,15.78,,-0.3,2.039,,,,,
11 UMi,,4255,27.03,1.43,-0.13,,1.8,3.186,,,
11 UMi,K0,,,,,,,,,,
11 UMi,,4248.7,30.26,,,2.43,,,,,
11 UMi,,4263.77,29.31,,-0.087,,,,,,
11 UMi,,,,1.7,,,,,,,
11 UMi,K4 III,4340,24.08,1.8,0.04,,1.6,1.56,,1.5,
11 UMi,,4213,29.79,2.78,-0.02,,1.93,,,,
14 And,,4689.46,11.22,,-0.298,,,,,,
14 And,K0 III,4888,11.55,1.78,-0.21,1.84,2.55,,,,
14 And,,4740,11.15,,,1.752,,,,,
14 And,,,,1.2,,,,,,,
14 And,,4709,10.86,1.17,-0.29,,2.44,5.477,,,
14 And,K0,,,,,,,,,,
14 And,,,,,,,,,,,
14 And,K0 III,4813,11,2.2,-0.24,1.763,2.63,,,2.6,
14 And,G8 III,4826,10.3,1.1,-0.32,,,4.5,,,
14 Her,,,0.96,1.07,,,4.51,5.24,,,
14 Her,K0 V,,,1,0.35,,,,,,
14 Her,,,,,,,,,,,
14 Her,K0 IV-V,5518,0.87,0.91,0.44,-0.204,,,,,
14 Her,,5338,0.93,0.9,0.41,,4.45,,,,
14 Her,,,,,,,,7.47,,,
14 Her,,5255,,0.9,0.51,,4.4,,,,
14 Her,,5418,,,0.5,,4.73,,,,
14 Her,,5255,,0.9,0.51,-0.15,4.4,3.9,,1,
14 Her,,,,,,,,,,,
14 Her,K0,,,,,,,,,,
14 Her,,,,,,,,,,,
14 Her,,,,0.91,,,,,,,
14 Her,K0 IV-V,,,,,,,,,,
14 Her,,5280,1,0.91,0.4,-0.153,4.4,,1.2739,,
14 Her,K0V,5388,0.96,1.07,0.46,-0.155,4.51,5.24,,,
14 Her,K0 V,,,,,,,,,,
14 Her,,,,,,,,,,1.6,
14 Her,,5314.94,1,0.97,0.405,,4.43,,,,
14 Her,,,,0.9,,,,,,,
14 Her,,5282,1,,,-0.151,,,,,
14 Her,,,,,,,,,,,
14 Her,,5311,,0.9,0.43,,,,,,
16 Cyg B,G5V,5674,1.17,0.96,0.04,0.143,4.3,11.8,,,
HIP 96895,,,,,,,,,,,
HIP 96895,G2V,5781,1.26,1.02,0.1,0.23,4.28,8.36,,,
16 Cyg B,,,,,,,,15,,,
16 Cyg B,G3 V,,,,,,,,,,
16 Cyg B,,5777.25,1.12,,,0.1,,,,,
16 Cyg B,,5772,,0.99,0.08,,,,,,
16 Cyg B,G2.5 V,5760,,1,0.05,,4.35,,,2.7,
16 Cyg B,,,,,,,,,,2,
HIP 96895,,,,,,,,,,,
16 Cyg B,G3 V,,,,,,,,,,
16 Cyg B,,5747,1.13,1.03,0.06,0.097,4.35,,1.011,,
16 Cyg B,,,,,,,,,,,
16 Cyg C,,,,,,,,,,,
HIP 96895,,,,,,,,,,2.8,
HIP 96895,,,1.26,1.02,,,4.28,8.36,,,
16 Cyg B,,,,,,,,,,,
16 Cyg B,,5674,,0.99,0.038,,4.36,,,2.18,
HIP 96895,,,,,,,,,,,
16 Cyg B,,5750,1.13,1.08,0.06,,4.36,,,,
HIP 96895,G1.5 V,,,,,,,,,,
16 Cyg B,,,1.17,0.96,,,4.3,11.8,,,
HIP 96895,G0,,,,,,,,,,
16 Cyg B,,,,,,,,,,,
16 Cyg B,,5751,1.08,0.98,-0.028,0.076,,7.4,,,
16 Cyg B,,5774,,,0.08,,4.43,,,,
HIP 96895,,5778,1.25,1.04,0.09,0.196,4.26,,0.7505,,
16 Cyg B,G3 V,,,,,,,,,,
16 Cyg B,,5711.97,1.16,0.98,0.074,,4.3,,,,
16 Cyg B,G0,,,,,,,,,,
HIP 96895,,,,,,,,,,2,
16 Cyg B,,,,,,,,,,2.2,
16 Cyg B,,5765,,0.99,0.09,,4.46,,,,
17 Sco,,4364.06,32.08,,0.025,,,,,,
17 Sco,K3 III,4157,25.92,1.22,-0.01,2.254,1.7,5.13,,3.98,329.49
18 Del,G6 III,4979,8.5,2.3,-0.052,1.602,2.82,,,,
18 Del,,,,2.1,,,,,,,
18 Del,G6 III,4980,8.8,2.1,-0.06,1.634,2.87,,,,
18 Del,,5083.75,7.91,,,1.576,,,,,
18 Del,G6 III,5054,8,2,-0.1,,,1.1,,,
18 Del,,5076,,2.33,0,,3.08,,,,
18 Del,K0,,,,,,,,,,
18 Del B,,3284,,,,,,,,,
18 Del,,5074.86,7.82,,0.097,,,,,,
1RXS J160929.1-210524,,4060,,0.85,,-0.37,,0.01,,,
1RXS J160929.1-210524,,3993,1.31,0.62,,-0.403,4,,0.3879,,
1RXS J160929.1-210524,,4076.58,1.18,,,-0.459,,,,,
1RXS J160929.1-210524,K7 V,4060,1.35,0.85,,,,0.005,,,
1RXS J160929.1-210524,K7 V,4060,,0.85,,-0.37,,0.005,,,
24 Boo,,5025.78,9.81,,-0.616,,,,,,
24 Boo,G0,,,,,,,,,,
